Period,Canadian Dollar ($CADUSD) - Rate Value,CAN CPI,US CPI,CAN Foreign Reserves,US Foreign Reserves,Foreign Reserves Difference,Foreign Reserves Difference Percentage,CPI Difference,CPI Difference Percentage
1996-04,1.3596666666666668,1.37,2.9,14.81,46.58,-31.769999999999996,2.1451721809588116,-1.5299999999999998,1.116788321167883
1996-05,1.3690322580645162,1.48,2.89,15.85,46.15,-30.299999999999997,1.911671924290221,-1.4100000000000001,0.9527027027027029
1996-06,1.368,1.48,2.75,16.18,46.08,-29.9,1.8479604449938196,-1.27,0.8581081081081081
1996-07,1.368709677419355,1.25,2.95,16.11,47.17,-31.060000000000002,1.9279950341402858,-1.7000000000000002,1.3600000000000003
1996-08,1.3716129032258066,1.48,2.88,17.01,39.83,-22.819999999999997,1.3415637860082303,-1.4,0.9459459459459458
1996-09,1.3686666666666667,1.48,3.0,16.94,38.86,-21.919999999999998,1.2939787485242027,-1.52,1.0270270270270272
1996-10,1.3496774193548389,1.82,2.99,17.47,38.76,-21.29,1.2186605609616485,-1.1700000000000002,0.642857142857143
1996-11,1.3373333333333335,1.93,3.26,17.54,38.49,-20.950000000000003,1.1944127708095782,-1.3299999999999998,0.689119170984456
1996-12,1.3635483870967744,2.16,3.32,18.03,38.29,-20.259999999999998,1.1236827509706044,-1.1599999999999997,0.5370370370370368
1997-01,1.3506451612903227,2.16,3.04,18.45,32.99,-14.540000000000003,0.7880758807588077,-0.8799999999999999,0.40740740740740744
1997-02,1.354642857142857,2.27,3.03,18.62,32.53,-13.91,0.7470461868958109,-0.7599999999999998,0.3348017621145374
1997-03,1.3719354838709679,1.92,2.76,19.23,32.45,-13.220000000000002,0.687467498699948,-0.8399999999999999,0.4375
1997-04,1.396,1.69,2.5,17.48,31.44,-13.96,0.7986270022883295,-0.81,0.47928994082840237
1997-05,1.3803225806451613,1.46,2.23,18.6,32.99,-14.39,0.7736559139784946,-0.77,0.5273972602739727
1997-06,1.3836666666666666,1.69,2.3,18.84,32.93,-14.09,0.7478768577494692,-0.6099999999999999,0.36094674556213
1997-07,1.3751612903225807,1.69,2.23,17.19,31.58,-14.389999999999997,0.837114601512507,-0.54,0.319526627218935
1997-08,1.3903225806451611,1.8,2.23,20.08,31.65,-11.57,0.576195219123506,-0.42999999999999994,0.23888888888888893
1997-09,1.3856666666666666,1.68,2.15,20.09,32.06,-11.970000000000002,0.5958188153310107,-0.47,0.27976190476190466
1997-10,1.3854838709677417,1.46,2.08,19.54,32.61,-13.07,0.6688843398157627,-0.6200000000000001,0.4246575342465755
1997-11,1.413,0.89,1.83,16.37,31.37,-15.0,0.916310323762981,-0.9400000000000001,1.0561797752808988
1997-12,1.426774193548387,0.78,1.7,15.12,30.81,-15.69,1.0376984126984126,-0.9199999999999999,1.1794871794871793
1998-01,1.441290322580645,1.11,1.57,18.0,30.92,-12.920000000000002,0.7177777777777778,-0.45999999999999996,0.4144144144144144
1998-02,1.4332142857142856,1.0,1.44,18.45,31.23,-12.780000000000001,0.6926829268292685,-0.43999999999999995,0.43999999999999995
1998-03,1.4161290322580644,1.0,1.38,19.59,30.22,-10.629999999999999,0.5426237876467586,-0.3799999999999999,0.3799999999999999
1998-04,1.43,0.89,1.44,19.02,30.87,-11.850000000000001,0.6230283911671926,-0.5499999999999999,0.6179775280898876
1998-05,1.4458064516129032,1.11,1.69,17.74,30.42,-12.680000000000003,0.7147688838782416,-0.5799999999999998,0.5225225225225223
1998-06,1.466,0.99,1.68,17.17,31.17,-14.0,0.8153756552125799,-0.69,0.696969696969697
1998-07,1.486774193548387,0.99,1.68,19.45,30.85,-11.400000000000002,0.5861182519280208,-0.69,0.696969696969697
1998-08,1.5338709677419355,0.88,1.62,14.87,31.45,-16.58,1.1149966375252185,-0.7400000000000001,0.840909090909091
1998-09,1.5216666666666667,0.66,1.49,16.39,32.88,-16.490000000000002,1.0061012812690664,-0.83,1.2575757575757573
1998-10,1.545483870967742,1.1,1.49,16.89,35.49,-18.6,1.1012433392539966,-0.3899999999999999,0.3545454545454545
