Dates,Canadian Dollar ($CADUSD) - Rate Value,Canada Prime Rate (%PRC1) - Rate Value,United States Prime Rate - Rate Value,Prime Rate Difference,Prime Rate Difference Percentage
1984-04-13,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-16,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-17,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-18,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-19,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-23,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-24,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-25,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-26,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-27,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-30,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-05-01,1.29,11.5,12.0,-0.5,0.04347826086956519
1984-05-02,1.29,11.5,12.0,-0.5,0.04347826086956519
1984-05-03,1.29,11.5,12.0,-0.5,0.04347826086956519
1984-05-04,1.29,11.5,12.0,-0.5,0.04347826086956519
1984-05-07,1.29,11.5,12.0,-0.5,0.04347826086956519
1984-05-08,1.3,11.5,12.5,-1.0,0.08695652173913038
1984-05-09,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-05-10,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-05-11,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-05-14,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-05-15,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-05-16,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-05-17,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-05-18,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-05-22,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-05-23,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-05-24,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-05-25,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-05-29,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-05-30,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-05-31,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-06-01,1.29,12.0,12.5,-0.5,0.04166666666666674
1984-06-04,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-05,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-06,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-07,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-08,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-11,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-12,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-13,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-14,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-15,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-18,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-19,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-20,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-21,1.3,12.0,12.5,-0.5,0.04166666666666674
1984-06-22,1.31,12.0,12.5,-0.5,0.04166666666666674
1984-06-25,1.31,12.0,13.0,-1.0,0.08333333333333326
1984-06-26,1.31,12.5,13.0,-0.5,0.040000000000000036
1984-06-27,1.32,12.5,13.0,-0.5,0.040000000000000036
1984-06-28,1.32,12.5,13.0,-0.5,0.040000000000000036
1984-06-29,1.32,12.5,13.0,-0.5,0.040000000000000036
1984-07-03,1.32,13.0,13.0,0.0,0.0
1984-07-05,1.33,13.0,13.0,0.0,0.0
1984-07-06,1.33,13.0,13.0,0.0,0.0
1984-07-09,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-10,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-11,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-12,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-13,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-16,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-17,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-18,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-19,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-20,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-23,1.33,13.5,13.0,0.5,-0.03703703703703709
1984-07-24,1.32,13.5,13.0,0.5,-0.03703703703703709
1984-07-25,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-07-26,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-07-27,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-07-30,1.32,13.5,13.0,0.5,-0.03703703703703709
1984-07-31,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-08-01,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-08-02,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-08-03,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-08-07,1.31,13.5,13.0,0.5,-0.03703703703703709
1984-08-08,1.3,13.5,13.0,0.5,-0.03703703703703709
1984-08-09,1.31,13.5,13.0,0.5,-0.03703703703703709
